Date,Open,High,Low,Close,Adj Close,Volume
2013-06-14,11.000000,11.000000,11.000000,11.000000,6.711509,0
2013-06-17,10.980000,10.980000,10.980000,10.980000,6.699305,0
2013-06-18,10.970000,10.970000,10.970000,10.970000,6.693203,0
2013-06-19,10.890000,10.890000,10.890000,10.890000,6.644394,0
2013-06-20,10.790000,10.790000,10.790000,10.790000,6.583380,0
2013-06-21,10.710000,10.710000,10.710000,10.710000,6.534570,0
2013-06-24,10.650000,10.650000,10.650000,10.650000,6.497962,0
2013-06-25,10.640000,10.640000,10.640000,10.640000,6.491857,0
2013-06-26,10.670000,10.670000,10.670000,10.670000,6.510163,0
2013-06-27,10.720000,10.720000,10.720000,10.720000,6.540671,0
2013-06-28,10.720000,10.720000,10.720000,10.720000,6.540671,0
2013-07-01,10.740000,10.740000,10.740000,10.740000,6.552873,0
2013-07-02,10.740000,10.740000,10.740000,10.740000,6.552873,0
2013-07-03,10.730000,10.730000,10.730000,10.730000,6.546767,0
2013-07-05,10.580000,10.580000,10.580000,10.580000,6.455251,0
2013-07-08,10.630000,10.630000,10.630000,10.630000,6.485756,0
2013-07-09,10.660000,10.660000,10.660000,10.660000,6.504061,0
2013-07-10,10.620000,10.620000,10.620000,10.620000,6.479655,0
2013-07-11,10.700000,10.700000,10.700000,10.700000,6.528468,0
2013-07-12,10.690000,10.690000,10.690000,10.690000,6.522368,0
2013-07-15,10.720000,10.720000,10.720000,10.720000,6.540671,0
2013-07-16,10.740000,10.740000,10.740000,10.740000,6.552873,0
2013-07-17,10.770000,10.770000,10.770000,10.770000,6.571178,0
2013-07-18,10.750000,10.750000,10.750000,10.750000,6.558975,0
2013-07-19,10.780000,10.780000,10.780000,10.780000,6.577277,0
2013-07-22,10.790000,10.790000,10.790000,10.790000,6.583380,0
2013-07-23,10.780000,10.780000,10.780000,10.780000,6.577277,0
2013-07-24,10.720000,10.720000,10.720000,10.720000,6.540671,0
2013-07-25,10.730000,10.730000,10.730000,10.730000,6.546767,0
2013-07-26,10.740000,10.740000,10.740000,10.740000,6.552873,0
2013-07-29,10.720000,10.720000,10.720000,10.720000,6.540671,0
2013-07-30,10.710000,10.710000,10.710000,10.710000,6.534570,0
2013-07-31,10.720000,10.720000,10.720000,10.720000,6.540671,0
2013-08-01,10.650000,10.650000,10.650000,10.650000,6.497962,0
2013-08-02,10.730000,10.730000,10.730000,10.730000,6.546767,0
2013-08-05,10.720000,10.720000,10.720000,10.720000,6.540671,0
2013-08-06,10.710000,10.710000,10.710000,10.710000,6.534570,0
2013-08-07,10.730000,10.730000,10.730000,10.730000,6.546767,0
2013-08-08,10.760000,10.760000,10.760000,10.760000,6.565074,0
2013-08-09,10.760000,10.760000,10.760000,10.760000,6.565074,0
2013-08-12,10.740000,10.740000,10.740000,10.740000,6.552873,0
2013-08-13,10.660000,10.660000,10.660000,10.660000,6.504061,0
2013-08-14,10.670000,10.670000,10.670000,10.670000,6.510163,0
2013-08-15,10.620000,10.620000,10.620000,10.620000,6.479655,0
2013-08-16,10.570000,10.570000,10.570000,10.570000,6.449151,0
2013-08-19,10.520000,10.520000,10.520000,10.520000,6.418639,0
2013-08-20,10.560000,10.560000,10.560000,10.560000,6.443048,0
2013-08-21,10.510000,10.510000,10.510000,10.510000,6.412545,0
2013-08-22,10.500000,10.500000,10.500000,10.500000,6.406439,0
2013-08-23,10.560000,10.560000,10.560000,10.560000,6.443048,0
2013-08-26,10.590000,10.590000,10.590000,10.590000,6.461353,0
2013-08-27,10.630000,10.630000,10.630000,10.630000,6.485756,0
2013-08-28,10.580000,10.580000,10.580000,10.580000,6.455251,0
2013-08-29,10.600000,10.600000,10.600000,10.600000,6.467454,0
2013-08-30,10.580000,10.580000,10.580000,10.580000,6.455251,0
2013-09-03,10.530000,10.530000,10.530000,10.530000,6.424745,0
2013-09-04,10.500000,10.500000,10.500000,10.500000,6.406439,0
2013-09-05,10.420000,10.420000,10.420000,10.420000,6.357627,0
2013-09-06,10.490000,10.490000,10.490000,10.490000,6.400336,0
2013-09-09,10.520000,10.520000,10.520000,10.520000,6.418639,0
2013-09-10,10.500000,10.500000,10.500000,10.500000,6.406439,0
2013-09-11,10.520000,10.520000,10.520000,10.520000,6.418639,0
2013-09-12,10.530000,10.530000,10.530000,10.530000,6.424745,0
2013-09-13,10.540000,10.540000,10.540000,10.540000,6.430846,0
2013-09-16,10.570000,10.570000,10.570000,10.570000,6.449151,0
2013-09-17,10.580000,10.580000,10.580000,10.580000,6.455251,0
2013-09-18,10.670000,10.670000,10.670000,10.670000,6.510163,0
2013-09-19,10.670000,10.670000,10.670000,10.670000,6.510163,0
2013-09-20,10.670000,10.670000,10.670000,10.670000,6.510163,0
2013-09-23,10.700000,10.700000,10.700000,10.700000,6.528468,0
2013-09-24,10.730000,10.730000,10.730000,10.730000,6.546767,0
2013-09-25,10.740000,10.740000,10.740000,10.740000,6.552873,0
2013-09-26,10.730000,10.730000,10.730000,10.730000,6.546767,0
2013-09-27,10.740000,10.740000,10.740000,10.740000,6.552873,0
2013-09-30,10.740000,10.740000,10.740000,10.740000,6.552873,0
2013-10-01,10.740000,10.740000,10.740000,10.740000,6.552873,0
2013-10-02,10.760000,10.760000,10.760000,10.760000,6.565074,0
2013-10-03,10.770000,10.770000,10.770000,10.770000,6.571178,0
2013-10-04,10.750000,10.750000,10.750000,10.750000,6.558975,0
2013-10-07,10.750000,10.750000,10.750000,10.750000,6.558975,0
2013-10-08,10.740000,10.740000,10.740000,10.740000,6.552873,0
2013-10-09,10.740000,10.740000,10.740000,10.740000,6.552873,0
2013-10-10,10.730000,10.730000,10.730000,10.730000,6.546767,0
2013-10-11,10.740000,10.740000,10.740000,10.740000,6.552873,0
2013-10-14,10.720000,10.720000,10.720000,10.720000,6.540671,0
2013-10-15,10.730000,10.730000,10.730000,10.730000,6.546767,0
2013-10-16,10.760000,10.760000,10.760000,10.760000,6.565074,0
2013-10-17,10.810000,10.810000,10.810000,10.810000,6.595580,0
2013-10-18,10.810000,10.810000,10.810000,10.810000,6.595580,0
2013-10-21,10.800000,10.800000,10.800000,10.800000,6.589480,0
2013-10-22,10.860000,10.860000,10.860000,10.860000,6.626089,0
2013-10-23,10.860000,10.860000,10.860000,10.860000,6.626089,0
2013-10-24,10.850000,10.850000,10.850000,10.850000,6.619989,0
2013-10-25,10.870000,10.870000,10.870000,10.870000,6.632190,0
2013-10-28,10.870000,10.870000,10.870000,10.870000,6.632190,0
2013-10-29,10.870000,10.870000,10.870000,10.870000,6.632190,0
2013-10-30,10.870000,10.870000,10.870000,10.870000,6.632190,0
2013-10-31,10.860000,10.860000,10.860000,10.860000,6.641979,0
