"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 13, 2018","2.8645","2.8630","2.8630","2.8630","0.01K","-0.40%"
"Aug 10, 2018","2.8760","2.8745","2.8745","2.8745","0.01K","-0.81%"
"Aug 09, 2018","2.8995","2.8980","2.8980","2.8980","28.11K","0.55%"
"Aug 08, 2018","2.8835","2.8820","2.8820","2.8820","0.02K","-0.19%"
"Aug 07, 2018","2.8890","2.8875","2.8875","2.8875","0.01K","0.64%"
"Aug 06, 2018","2.8705","2.8690","2.8690","2.8690","0.02K","-1.10%"
"Aug 03, 2018","2.9025","2.9010","2.9010","2.9010","0.03K","0.92%"
"Aug 02, 2018","2.8760","2.8745","2.8745","2.8745","0.02K","-0.23%"
"Aug 01, 2018","2.8825","2.8810","2.8810","2.8810","0.01K","-2.52%"
"Jul 31, 2018","2.9570","2.9555","2.9555","2.9555","0.03K","1.18%"
"Jul 30, 2018","2.9225","2.9210","2.9210","2.9210","0.00K","-0.10%"
"Jul 27, 2018","2.9255","2.9240","2.9240","2.9240","0.01K","-0.44%"
"Jul 26, 2018","2.9385","2.9370","2.9370","2.9370","0.01K","-0.05%"
"Jul 25, 2018","2.9400","2.9385","2.9385","2.9385","0.01K","0.36%"
"Jul 24, 2018","2.9295","2.9280","2.9280","2.9280","0.05K","2.25%"
"Jul 23, 2018","2.8650","2.8635","2.8635","2.8635","0.78K","-0.42%"
"Jul 20, 2018","2.8770","2.8755","2.8755","2.8755","0.60K","2.02%"
"Jul 19, 2018","2.8200","2.8185","2.8185","2.8185","0.07K","-2.27%"
"Jul 18, 2018","2.8855","2.8840","2.8840","2.8840","0.00K","0.26%"
"Jul 17, 2018","2.8780","2.8765","2.8765","2.8765","0.01K","-0.43%"
"Jul 16, 2018","2.8905","2.8890","2.8890","2.8890","0.05K","-0.62%"
"Jul 13, 2018","2.9085","2.9070","2.9070","2.9070","0.02K","0.02%"
"Jul 12, 2018","2.9080","2.9065","2.9065","2.9065","0.00K","1.25%"
"Jul 11, 2018","2.8720","2.8705","2.8705","2.8705","0.01K","-3.14%"
"Jul 10, 2018","2.9650","2.9635","2.9635","2.9635","0.00K","-0.13%"
"Jul 09, 2018","2.9690","2.9675","2.9675","2.9675","0.03K","0.83%"
