"Date","Price","Open","High","Low","Change %"
"Mar 13, 2018","603.06","603.82","604.47","600.02","-0.13%"
"Mar 12, 2018","603.85","602.37","604.95","602.37","0.27%"
"Mar 09, 2018","602.25","606.24","606.25","601.73","-0.65%"
"Mar 08, 2018","606.21","603.25","607.06","603.25","0.48%"
"Mar 07, 2018","603.30","600.20","603.68","600.20","0.52%"
"Mar 06, 2018","600.20","598.45","600.33","593.68","0.31%"
"Mar 05, 2018","598.35","598.82","601.80","597.55","-0.07%"
"Mar 02, 2018","598.75","595.85","599.38","593.98","0.49%"
"Mar 01, 2018","595.85","594.92","597.65","594.03","0.16%"
"Feb 28, 2018","594.92","592.38","595.11","590.60","0.47%"
