"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 22, 2021","4.2770","4.2890","4.2940","4.2505","1.10K","-0.16%"
"Apr 21, 2021","4.2840","4.2115","4.2930","4.2115","2.39K","1.55%"
"Apr 20, 2021","4.2185","4.2410","4.3000","4.2080","1.77K","-0.54%"
"Apr 19, 2021","4.2415","4.1675","4.2765","4.1580","2.74K","1.78%"
"Apr 16, 2021","4.1675","4.2335","4.2335","4.1615","2.71K","-1.16%"
"Apr 15, 2021","4.2165","4.1115","4.2260","4.1090","3.83K","2.17%"
"Apr 14, 2021","4.1270","4.0515","4.1305","4.0390","3.74K","2.19%"
"Apr 13, 2021","4.0385","4.0270","4.0525","4.0115","3.25K","0.32%"
"Apr 12, 2021","4.0255","4.0370","4.0370","4.0000","3.20K","-0.45%"
"Apr 09, 2021","4.0435","4.0825","4.0825","4.0390","3.61K","-1.22%"
"Apr 08, 2021","4.0935","4.0510","4.0950","4.0510","3.68K","1.05%"
"Apr 07, 2021","4.0510","4.0845","4.0845","4.0385","1.25K","-1.38%"
"Apr 06, 2021","4.1075","4.1310","4.1310","4.0645","1.37K","-0.64%"
"Apr 05, 2021","4.1340","4.0155","4.1540","4.0155","1.20K","3.62%"
"Apr 01, 2021","3.9895","3.9885","4.0080","3.9455","73.10K","-0.13%"
"Mar 31, 2021","3.9945","3.9660","4.0100","3.9635","1.24K","0.48%"
"Mar 30, 2021","3.9755","4.0365","4.0365","3.9640","1.32K","-1.35%"
"Mar 29, 2021","4.0300","4.0710","4.0710","4.0080","0.67K","-0.74%"
"Mar 26, 2021","4.0600","3.9895","4.0645","3.9895","0.69K","2.24%"
"Mar 25, 2021","3.9710","4.0310","4.0310","3.9460","1.67K","-2.17%"
"Mar 24, 2021","4.0590","4.0435","4.0910","4.0235","1.07K","-0.28%"
"Mar 23, 2021","4.0705","4.1390","4.1445","4.0075","1.00K","-1.40%"
"Mar 22, 2021","4.1285","4.0805","4.1320","4.0750","1.49K","0.74%"
"Mar 19, 2021","4.0980","4.0535","4.1030","4.0095","0.44K","0.06%"
"Mar 18, 2021","4.0955","4.1300","4.1300","4.0420","0.80K","-0.30%"
"Mar 17, 2021","4.1080","4.0470","4.1450","4.0470","0.82K","1.16%"
"Mar 16, 2021","4.0610","4.1190","4.1190","4.0455","0.75K","-1.56%"
"Mar 15, 2021","4.1255","4.1675","4.1675","4.1075","0.58K","0.02%"
"Mar 12, 2021","4.1245","4.1020","4.1335","4.0575","0.88K","-0.01%"
"Mar 11, 2021","4.1250","4.0200","4.1320","4.0185","2.88K","2.74%"
"Mar 10, 2021","4.0150","4.0015","4.0350","3.9740","1.30K","0.63%"
"Mar 09, 2021","3.9900","4.0680","4.0795","3.9595","1.46K","-2.00%"
"Mar 08, 2021","4.0715","4.1165","4.1365","3.9900","1.52K","0.35%"
"Mar 05, 2021","4.0575","3.8945","4.0900","3.8945","2.02K","2.44%"
"Mar 04, 2021","3.9610","4.0800","4.1160","3.8355","3.13K","-3.85%"
"Mar 03, 2021","4.1195","4.1595","4.1755","4.0900","1.82K","-1.67%"
"Mar 02, 2021","4.1895","4.0905","4.1925","4.0265","1.54K","2.30%"
"Mar 01, 2021","4.0955","4.0605","4.1400","4.0605","2.24K","0.64%"
"Feb 26, 2021","4.0695","4.1705","4.2180","4.0570","1.69K","-3.78%"
"Feb 25, 2021","4.2295","4.2900","4.3380","4.1710","1.12K","-0.96%"
"Feb 24, 2021","4.2705","4.1790","4.2945","4.1200","1.55K","2.72%"
"Feb 23, 2021","4.1575","4.1355","4.1950","4.0710","1.55K","0.95%"
"Feb 22, 2021","4.1185","4.0690","4.1790","4.0485","1.26K","1.89%"
"Feb 19, 2021","4.0420","3.8630","4.0550","3.8600","1.67K","4.36%"
"Feb 18, 2021","3.8730","3.7945","3.8895","3.7945","0.94K","2.02%"
"Feb 17, 2021","3.7965","3.7950","3.8200","3.7675","3.08K","-0.05%"
"Feb 16, 2021","3.7985","3.7700","3.8050","3.7625","1.41K","-0.61%"
"Feb 15, 2021","3.8218","3.8005","3.8340","3.7997","-","0.57%"
"Feb 14, 2021","3.8003","3.7960","3.8087","3.7960","-","1.23%"
"Feb 12, 2021","3.7540","3.7300","3.7745","3.7270","1.22K","0.09%"
"Feb 11, 2021","3.7505","3.7455","3.7615","3.7300","1.68K","0.07%"
"Feb 10, 2021","3.7480","3.6545","3.7590","3.6515","2.70K","1.63%"
"Feb 09, 2021","3.6880","3.6540","3.6935","3.6380","2.02K","1.28%"
"Feb 08, 2021","3.6415","3.6240","3.6510","3.6070","1.76K","0.91%"
"Feb 05, 2021","3.6085","3.5855","3.6170","3.5715","2.35K","1.79%"
"Feb 04, 2021","3.5450","3.5545","3.5545","3.5295","0.65K","-0.17%"
"Feb 03, 2021","3.5510","3.5240","3.5525","3.5000","0.98K","1.05%"
"Feb 02, 2021","3.5140","3.5385","3.5385","3.4930","0.91K","-0.52%"
"Feb 01, 2021","3.5325","3.5225","3.5655","3.5120","0.91K","-0.31%"
"Jan 29, 2021","3.5435","3.5640","3.5925","3.5300","0.82K","-0.62%"
"Jan 28, 2021","3.5655","3.5490","3.5900","3.4945","0.90K","0.11%"
"Jan 27, 2021","3.5615","3.6225","3.6235","3.5350","0.81K","-1.70%"
"Jan 26, 2021","3.6230","3.6000","3.6270","3.5850","1.23K","-0.15%"
"Jan 25, 2021","3.6285","3.6210","3.6265","3.5990","0.54K","0.15%"
